,property_id,property_name,hotel_description,address,point_of_interest,city,state,country,latitude,longitude,property_type,hotel_star_rating,hotel_facilities,room_facilities
18,H000011,AS Clarks inn,The standard check-in time is 01:00 PM and the standard check-out time is 11:30 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances Pets are not allowed. Valid Photo ID required for check-in,"NT Mall Road, Dalhousie ,176304(HP)","['Dainkund Peak', 'Rang Mahal', 'The Mall']",Dalhousie,Himachal Pradesh,India,32.537371,75.9824737,Hotel,3,"['Doctor on Call', 'Laundry Service Available', 'Lift / Elevator', 'Parking Facilities Available', 'Front Desk', 'Power Backup', 'Campfire / Bon Fire', 'Internet Access Free', 'Outdoor Parking - Secured', 'Room Service', 'First-Aid Kit at Front Desk', 'Public Restrooms', 'Speciality Restaurant ', 'Suites']","['Room Service ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Video/ DVD/ CD Player Available', 'Ceiling Fan', 'Telephone']"
22,H000012,Aqua Marina Drive Inn,The standard check-in time is 12:00 PM and the standard check-out time is 11:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"Dadanpatrabar, Mandarmani.","['Beach Road', 'Mandarmani Beach']",Mandarmani,West Bengal,India,21.6614133299,87.6978331375,Resort,0,"['Doctor on Call', 'Laundry Service Available', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Power Backup', 'Gardens', 'Room Service']","['Air Conditioning ', 'Cable / Satellite / Pay TV available', 'Attached Bathroom']"
23,H000013,Annai Illam Guest House,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Early check in and late check out is subject to availability and extras will be charged on direct payable basis.  No pets allowed.,"Nagalore road  Opp petrol bunk,","['Arthur Seat', 'Yercaud Main Town', 'Killiyur Falls']",Yercaud,Tamil Nadu,India,11.7887759755,78.211105642,Guest House,0,"['Business Center ', 'Laundry Service Available', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', '24 Hour Front Desk', 'Power Backup', 'Gardens', 'Room Service (24 Hours)', 'STD / ISD', 'Parking Facility']","['Room Service ', 'Telephone', 'Newspapers', 'Mineral Water', ' Hot / Cold Running Water', 'Housekeeping', 'Breakfast Available', 'Toiletries', 'HD / LCD Satellite TV ', 'Mirror', 'Attached Bathroom']"
24,H000014,Bella Marina Villa,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,"Shuru, PO Prini, Manali","['Hadimba Temple', 'Himalayan Nyingmapa Gompa', 'Vashist Hot Water Springs and Temples', 'Tibetan Monasteries', 'Van Vihar', 'Village Prini', 'Manu Temple', 'Lady Willingdon Hospital', 'Chandrakhani Pass', 'Manali Bus Stand', 'Civil Hospital', 'Manali 1st Super Market', 'Club House']",Manali,Himachal Pradesh,India,32.212801114,77.198374263,Hotel,0,"['Doctor on Call', 'Laundry Service Available', 'Parking Facilities Available', 'Front Desk', 'Local Tour / Travel Desk', 'Gardens', 'Picnic Area', 'Open Air Restaurant / Dining ', ' Bike on Rent', 'Vegetarian Food / Jain Food Available', 'Taxi Services', 'Campfire / Bon Fire', 'Internet Access Free', 'Outdoor Parking - Secured', 'Restaurant', 'Room Service']","['Room Service ', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Ensuite / Private Bathroom', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Breakfast Available', 'Toiletries', 'TV', 'Mirror', 'Daily Room Cleaning', 'Dustbins']"
29,H000015,AR Suites Fontana Bay,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly -,"Road No. 2, Central Avenue,Kalyani Nagar","['Aga Khan Palace', 'Kalyani Nagar', 'Poona Club Golf Course', 'Pune Airport', 'Osho Ashram']",Pune,Maharashtra,India,18.5479334006,73.9009630948,Service Apartment,4,"['Airport Transfer Available / Surcharge', 'Business Center ', 'Concierge', 'Doctor on Call', 'Dry Cleaning', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Locker Facility', 'Local Tour / Travel Desk', '24 Hour Front Desk', 'Medical Assistance Available', 'Power Backup', 'Gardens', 'Smoking Area ', 'Shopping Drop Facility (on fixed timings)', 'Internet Access Free', 'Newspapers In Lobby', 'Airport Transfer Free', 'Outdoor Parking - Secured', 'Parking Facility']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Ensuite / Private Bathroom', 'Hairdryer (on request)', 'Iron / Ironing board available', 'Tea Coffee Kettle / Maker', 'Kitchenette', 'Mini bar - On Charge ', 'Internet Connection In Room', 'Refrigerator', 'Telephone', 'Shower Facility Available', 'Newspapers', 'Reading Lamps', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Toiletries', 'Window Opens', 'Makeup / Shaving Mirror', 'Premium Amenities / Toiletries', 'Coffee Table', 'TV', 'Mirror', 'Attached Bathroom']"
30,H000016,Atithi Cottages,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Ridge View Cottage  spells true Himachal Hospitality and traditional architecture. Offering a total of 14 lavish rooms for a peaceful holidays in Manali. Peaceful location far from the hustles of main city and outstanding customer service is our USP.,"Village Simsa, Kanyal Road","['Village Simsa', 'Chandrakhani Pass', 'Manali 1st Super Market']",Manali,Himachal Pradesh,India,32.226787,77.1854487,Hotel,3,"['Banquet Facilities', 'Business Center ', 'Doctor on Call', 'Laundry Service Available', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Medical Assistance Available', 'Welcome Drinks', 'Power Backup', 'Gardens', 'Catering', 'Suitable For Children', 'Grocery', 'Conference Facility ', 'Kitchen available (home cook food on request)', 'Massage Services ', 'Discotheque ', ' Bike on Rent', 'Veg / Non Veg Kitchens Separate ', 'In House Events ', 'Vegetarian Food / Jain Food Available', 'City Shuttle Service', 'Campfire / Bon Fire', 'Food Facility', 'Internet Access Free', 'Newspapers In Lobby', 'Room Service (24 Hours)', 'Spa Services Nearby', ' Cook Services', 'Air / Rail Booking', 'Internet / Fax (Reception area only)', 'Outdoor Parking - Secured', 'Parking Facility']","['Room Service ', 'Air Conditioning ', 'Balcony / Terrace', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Ensuite / Private Bathroom', 'Heating Facility (on request) ', 'Iron / Ironing board available', 'Kitchenette', 'Mini bar - On Charge ', 'Shower Facility Available', 'Breakfast Available (surcharge)', 'Premium Beddings / Hypo-Allergenic ', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Toiletries', 'Window Opens', 'Makeup / Shaving Mirror', 'Sofa Cum Bed Available', 'Primium Bathrooms', 'Hill View from all Rooms', 'Coffee Table', 'Wardrobe', 'Private Garden', 'TV', 'Room Heater', 'Mirror', 'Luxurious Feather Mattresses', 'Gas Cylinder - Chargeable', 'Dressing Area', 'Attached Bathroom']"
31,H000017,Aurick Hotel,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"# 598, 15th Cross, 35th Main,6th Phase, JP Nagar","['Lal Bagh Botanical Garden', 'THE BULL TEMPLE', 'Apollo Hospitals', 'Spices Board Regional Office', 'Sagar Hospitals', 'Bangalore Water Supply &amp; Sewerage Board', 'ICFAI University', 'Rajiv Gandhi University of Health Sciences', 'Rajiv Gandhi Institute of Chest Diseases', 'Jayanagar Bus Stop', 'Sri Jayadeva Institute of Cardiovascular Sciences and Research', 'HSBC Bus Stop', 'Jp Nagar', 'Sree Tirumalagiri Lakshmi Venkateshwara Devasthanam', 'Fortis Hospital', 'Sanjay Gandhi Accident Hospital and Research Institute', 'Gangamma temple', 'Royal Meenakshi Mall', 'Jayanagar Metro Station', 'Indira Gandhi Institute Of Child Health Hospital', 'Bangalore Water Supply & Sewerage Board']",Bangalore,Karnataka,India,12.9058293,77.5783209,Hotel,4,"['Airport Transfer Available / Surcharge', 'Bar / Lounge ', 'Health Club / Gym Facility Available', 'Internet Access - Surcharge', 'Laundry Service Available', 'Lift / Elevator', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Power Backup', 'Internet Access Free', 'Room Service (24 Hours)', 'Outdoor Parking - Secured', 'Parking Facility']","['Room Service ', 'Air Conditioning ', 'Bathrobe (on request) ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Hairdryer (on request)', 'Iron / Ironing board available', 'Tea Coffee Kettle / Maker', 'Mini bar - On Charge ', 'Internet Connection In Room', 'Telephone', 'Remote Controlled Lights and Fan', 'Shower Facility Available', 'Breakfast Available (surcharge)', 'Newspapers', 'Reading Lamps', 'Shower Caps Available', 'Mineral Water', 'Shoe Shine', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Breakfast Available', 'Toiletries', 'Window Opens', 'Slippers', 'Premium Amenities / Toiletries', 'Shaving Kit /Dental Kit', 'Moisturiser', 'Handheld Showers', 'Safe - In - Room ', 'Coffee Table', 'Wardrobe', 'HD / LCD Satellite TV ', 'Sofa Table / Extra Seats ', 'Snacks / Beverage', 'International Switch Plugs (on request)', 'Soundproof Windows', 'TV', 'Mirror', 'Mini Refrigerator', 'Utensils (on request)', 'Luggage Rack', 'Attached Bathroom']"
33,H000018,Best Western Plus Ekobarn,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly For any queries at the unit, the single point contact from Best Western Plus Ekobarn will be the General Manager of the Hotel.  All guests will show the Government issued ID card and submit visiting card at the time of checking in. Mandatory Christmas evening supplement cost - 25.12.2015- Rs.1800/- Per room to be paid directly at the time of Check in. Mandatory New Year evening supplement cost - 31.12.2015-Rs.1800/- Per room to be paid directly at the time of Check in.","Near New Bus Terminal, Main Road,Kalpetta, Wayanad",['Kalpetta'],Wayanad,Kerala,India,11.6045217,76.0834992,Hotel,4,"['Swimming Pool', 'Airport Transfer Available / Surcharge', 'Banquet Facilities', 'Business Center ', 'Currency Exchange', 'Doctor on Call', 'Dry Cleaning', 'Health Club / Gym Facility Available', 'Internet Access - Surcharge', 'Lift / Elevator', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Spa On Site - Chargeable', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Air-Conditioning - Central', 'Welcome Drinks', 'Power Backup', 'Express Check-In / Check-Out', 'Gardens', 'Wake-up Call / Service', 'Separate Sitting Area', 'Coffee Shop / Cafe', 'Electronic / Magnetic Keys', 'Fire Place Available ', 'Wheelchair Accessibility - Room', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Vegetarian Food / Jain Food Available', 'Village Visit ( Chargeable )', 'Car Rental', 'Taxi Services', 'Food Facility', 'Internet Access Free', 'Newspapers In Lobby', 'Party hall', 'Air / Rail Booking', 'Baggage Room', 'Guide / Sightseeing Service', 'Adjoining Rooms', 'Outdoor Parking - Secured', 'Parking Facility']","['Room Service ', 'Air Conditioning ', 'Alarm Clock', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Hairdryer (on request)', 'Tea Coffee Kettle / Maker', 'Mini bar - On Charge ', 'Internet Connection In Room', 'Refrigerator', 'Telephone', 'Shower Facility Available', 'Reading Lamps', 'Shower Caps Available', 'Mineral Water', 'Shoe Shine', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Breakfast Available', 'Toiletries', 'Window Opens', 'Makeup / Shaving Mirror', 'Slippers', 'Premium Amenities / Toiletries', 'Shaving Kit /Dental Kit', 'Moisturiser', 'Safe - In - Room ', 'Separate Bathtubs And Shower', 'Coffee Table', 'Wardrobe', 'HD / LCD Satellite TV ', 'Sofa Table / Extra Seats ', ""Split A.C's"", 'International Switch Plugs (on request)', 'Soft Bar', 'TV', 'Mirror', 'Mini Refrigerator', 'Luggage Rack', 'Attached Bathroom']"
34,H000019,Aura Vaseela,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly The primary guest must be at least 18 years of age to check into this hotel As per Government regulation, it is mandatory for all guests adove 18 years of age carry a valid photo identity card and address proof at the time of check-in.","Village Nadiali, P.O. Dharamgarh, Near Nabha Sabhib Gurudwara, Ajitgarh, Chandigarh","['Others', 'Krishna Market', 'Sector-43 Bus Stand', 'Mohali Cricket Stadium', 'Hockey Stadium']",Chandigarh,Punjab,India,30.7046486,76.7178726,Resort,0,"['Swimming Pool', 'Bar / Lounge ', 'Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Multi Cuisine Restaurant ', 'Sauna', 'Conference Facility']","['Room Service ', 'Air Conditioning ', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Telephone', 'Mineral Water', ' Hot / Cold Running Water']"
35,H000020,Anupam Resorts,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Hotel may charge compulsory gala dinner supplement on Christmas / New Year's eve or other festive periods. Any such supplements need to be paid directly at the hotel.,"Naddi, Dal Lake, Mcleod Ganj","['Dalai Lama Temple', 'Bhagsu Waterfall', 'Dharamkot', 'Pathankot', 'Bhagsunath Temple', 'Kangra', 'Dalhousie', 'Tapovan', 'McLeod Ganj', 'Dal Lake', 'Bajreshwari Devi Temple', 'Tibet Museum', 'Village Naddi', 'Triund trek from']",Mcleodganj,Himachal Pradesh,India,32.2418621,76.3208346513,Resort,2,"['Doctor on Call', 'Dry Cleaning', 'Laundry Service Available', 'Lobby', 'Parking Facilities Available', 'Front Desk', 'Multi Cuisine Restaurant ', 'Local Tour / Travel Desk', 'Coffee Shop / Cafe', ""Children's Park"", 'Room Service (24 Hours)']","['Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Ensuite / Private Bathroom', 'Telephone', ' Hot / Cold Running Water']"
36,H000021,Atharv Coastal End Guest House,The standard check-in time is 10:00 AM and the standard check-out time is 09:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly No pets allowed No check in and check out on 31st December 2015 Compulsory ID government prof required before check in for all guests,"Near La calypso casino, Saunta Waddo, Baga Beach","['North Goa', 'Anjuna Beach', 'Baga Area', 'Calangute Beach', 'Titos lane, baga', 'Baga Beach', 'Calangute Bus Stand', 'Anjuna Beach Bus Stop']",Goa,Goa,India,15.5606883347,73.7527654812,Guest House,0,"['Airport Transfer Available / Surcharge', 'Internet Access - Surcharge', 'Laundry Service Available', 'Parking Facilities Available', 'Front Desk', 'Locker Facility', 'Luggage Storage', 'Power Backup', 'Smoking Rooms', 'Kitchen available (home cook food on request)', ' Bike on Rent', 'Car Rental', 'Taxi Services', 'Food Facility', 'Spa Services Nearby', ' Cook Services', 'Baggage Room', 'Outdoor Parking - Non Secured', 'Parking Facility', 'Room Service', 'CCTV']","[""Split A.C's""]"
43,H000022,AVNB Towers,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"No.7.Dharga Road, Pallavaram,","['Airport Area, Pallavaram', 'Chennai International Airport']",Chennai,Tamil Nadu,India,12.9661099,80.1479566,Hotel,2,"['Parking Facilities Available', 'Front Desk', 'Internet Access Free', 'Room Service (24 Hours)', 'Parking Facility']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Telephone', 'Newspapers', 'Mineral Water', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Breakfast Available', 'Toiletries', 'Coffee Table', 'HD / LCD Satellite TV ', 'Mirror', 'Attached Bathroom']"
44,H000023,ATITHI RESIDENCY - MARTHAHALLI,The standard check-in time is 11:00 PM and the standard check-out time is 11:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,"No 6/16, munnekolalu extention, ashwathnagar, varthur hobli","['Future Group Cosmos Mall', 'Marathahalli', 'Inorbit Mall', 'UIDAI Technology Center', 'Vydehi Institute of Medical Sciences &amp; Research Centre', 'Kalamandir Bus Stop', 'Bellandur Railway Station', 'Vydehi Institute of Medical Sciences & Research Centre']",Bangalore,Karnataka,India,12.9570902252,77.7022349063,Hotel,0,"['Laundry Service Available', 'Lift / Elevator', 'Parking Facilities Available', 'Front Desk', 'Locker Facility', 'Power Backup', 'Transfers Available', 'Internet Access Free', 'Room Service (24 Hours)', 'Outdoor Parking - Secured', 'Parking Facility', 'Room Service', 'Speciality Restaurant']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Cable / Satellite / Pay TV available', 'Video/ DVD/ CD Player Available', 'Ceiling Fan', 'Internet Connection In Room', 'Newspapers', ' Hot / Cold Running Water', 'Housekeeping', 'Breakfast Available', 'HD / LCD Satellite TV ', 'TV', 'Mirror', 'Luggage Rack', 'Attached Bathroom', 'Dustbins']"
45,H000024,AROMA,The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly,"122 / 3, Near Bharma Temple","['Pushkar Lake', 'Brahma Temple', 'Savitri Temple', 'Brahma Temple Area']",Pushkar,Rajasthan,India,26.489749,74.5510856,Hotel,0,"['Doctor on Call', 'Multi Cuisine Restaurant']","['Cable / Satellite / Pay TV available', 'Ensuite / Private Bathroom']"
49,H000025,Awesome Palace,The standard check-in time is 10:00 AM and the standard check-out time is 10:00 AM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly unmarried couple are not allowed.,"christain basti , opposite passport seva kendra, walford","['Nehru Stadium', 'Guwahati Railway Station', 'Assam State Museum', 'G.S. Road']",Guwahati,Assam,India,26.1783205,91.7530844,Guest House,3,"['Laundry Service Available', 'Lift / Elevator', 'Parking Facilities Available', 'Front Desk', 'Locker Facility', 'Power Backup', 'Multi Lingual Staff', 'Kitchen available (home cook food on request)', 'Vegetarian Food / Jain Food Available', 'Food Facility', 'Internet Access Free', 'Party hall', 'Outdoor Parking - Secured', 'Parking Facility', 'Room Service', 'Suites']","['Air Conditioning ', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Ensuite / Private Bathroom', 'Refrigerator', 'Mineral Water', 'TV', 'Mirror', 'Complete Bedding', 'Curtains/Shades', 'Dustbins', 'Room Door Fitted with Lock and Key', 'Rooms with Attached Bathrooms', 'Sanitary Bin', 'Sufficient Lighting']"
50,H000026,Arpanaa Hotel,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly In keeping with our security procedures, we request all guests to carry a photo identity proof to present at check in.Foreign nationals are required to submit passport and valid visa. Our hotel is Non smoking Non alcoholic hotel.","No.7 Sriram Nagar, Polur Road","['The Ramana Ashram', 'Virupaksha Cave', 'Athiyanthal Village']",Tiruvannamalai,Tamil Nadu,India,12.2358388,79.0263645,Hotel,3,"['Babysitting/ Child Care (surcharge)', 'Banquet Facilities', 'Currency Exchange', 'Doctor on Call', 'Dry Cleaning', 'Gift Shop ', 'Laundry Service Available', 'Lift / Elevator', 'Lobby', 'Front Desk', 'Multi Cuisine Restaurant ', 'Locker Facility', 'Non Smoking Hotel', 'Local Tour / Travel Desk', 'Valet service', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Welcome Drinks', 'Power Backup', 'Multi Lingual Staff', 'Wake-up Call / Service', 'Access Via Exterior Corridors', 'Multi - Line Phone', 'Pick Up and Drop (Rly Station, Bus Stand, Temple)', 'Transfers Available', 'Extra Person / Child - Share the same room', 'Village Visit ( Chargeable )', 'Car Rental', 'Express Laundry', 'Meditation Room', ' Drivers Rest Room', 'Internet Access Free', 'Newspapers In Lobby', 'Room Service (24 Hours)', 'Party hall', 'RO Water Purification System', 'Parking Facility']","['Room Service ', 'Air Conditioning ', 'Balcony / Terrace', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Hairdryer (on request)', 'Iron / Ironing board available', 'Tea Coffee Kettle / Maker', 'Mini bar - On Charge ', 'Internet Connection In Room', 'Telephone', 'Newspapers', 'Mineral Water', 'Shoe Shine', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Extra Bed, Towels, Linens, Bedding (on request)', 'Breakfast Available', 'Makeup / Shaving Mirror', 'Slippers', 'Premium Amenities / Toiletries', 'Shaving Kit /Dental Kit', 'Wardrobe', ""Split A.C's"", 'TV', 'Mirror', 'Mini Refrigerator', 'Stationery Kit', 'Attached Bathroom', 'Closet', 'Daily Room Cleaning', 'Dustbins']"
53,H000027,Bhagirathi Palace,"The standard check-in time is 12:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Booking rates will not be valid for Christmas and New year dates, High season and long weekend dates extra supplement will be charged over and above the paid rates as per actual and hotel discretion.",Badrinath Road Tapovan Rishikesh,"['Kailas Ashram', 'Tapovan', 'Lakshman Jhula']",Rishikesh,Uttarakhand,India,30.131591,78.3241469,Hotel,2,"['Airport Transfer Available / Surcharge', 'Currency Exchange', 'Doctor on Call', 'Internet Access - Surcharge', 'Laundry Service Available', 'Parking Facilities Available', 'Front Desk', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Luggage Storage', 'Medical Assistance Available', 'Power Backup', 'Express Check-In / Check-Out', 'Wake-up Call / Service', 'Suitable For Children', 'Smoking Rooms', 'Fax Machine', 'Kitchen available (home cook food on request)', ' Bike on Rent', 'Vegetarian Food / Jain Food Available', 'Car Rental', 'Taxi Services', 'Food Facility', ' Drivers Rest Room', 'Internet Access Free', 'Newspapers In Lobby', 'Postal / Parcel Services', 'Family Room', 'Room Service (24 Hours)', 'Air / Rail Booking', 'STD / ISD', 'Courier Service', 'Laptop Available on Hire', 'Internet / Fax (Reception area only)', 'Parking Facility', 'Internet Access', 'Room Service', 'Trekking', 'CCTV', 'First-Aid Kit at Front Desk', 'Full Time Operation for All 7 Days', 'Hotel Trading License', 'Paid Transfers', 'Stamps and Mailing Facility']","['Room Service ', 'Air Conditioning ', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Hairdryer (on request)', 'Heating Facility (on request) ', 'Telephone', 'Breakfast Available (surcharge)', 'Newspapers', ' Hot / Cold Running Water', 'Housekeeping', 'Toiletries', 'Makeup / Shaving Mirror', 'Hill View from all Rooms', 'HD / LCD Satellite TV ', 'Soundproof Windows', 'TV', 'Attached Bathroom', 'Daily Room Cleaning', 'Ice Bucket on Demand', 'Modern Toilet Facilities', 'Phone Messaging Services', 'Room with Window/Ventilation', 'Rooms with Attached Bathrooms', 'Western Toilet Seat']"
54,H000028,Arihant Guest House.,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly We do not allow unmarried / unrelated couples to checkin. This is at full discretion of the hotel management. No refund would be applicable in case the checkin is denied under such circumstances,"Behind sardar petrol pump, kampoo, lashkar gwalior","['phoolbagh', 'Captain Roop Singh Stadium', 'Lashkar', 'Suraj Kund']",Gwalior,Madhya Pradesh,India,26.1973344,78.1684973,Hotel,0,"['Doctor on Call', 'Front Desk', '24 Hour Front Desk', 'Parking Facility']","['Room Service ', 'Basic Bathroom Amenities', 'Ceiling Fan', 'Ensuite / Private Bathroom', ' Hot / Cold Running Water', 'Housekeeping', 'Desk in Room', 'Breakfast Available', 'Toiletries', 'TV', 'Mirror', 'Dustbins', 'Sufficient Lighting']"
59,H000029,Backpacker Panda Jaipur,The standard check-in time is 02:00 PM and the standard check-out time is 12:00 PM. Early check-in or late check-out is strictly subjected to availability and may be chargeable by the hotel. Any early check-in or late check-out request must be directed and reconfirmed with hotel directly Children under the age of 15 years are not allowed in dormitories even if accompanied by parents.  Advance payment is mandatory. No pet policy.,"MI Road, Opp Om Towers, next to ICICI Bank ATM","['Johari Bazar', 'Jantar Mantar', 'M I Road', 'City Palace', 'Metropolitan Mall', 'Jaipur Railway Station']",Jaipur,Rajasthan,India,26.9182202278,75.7997847462,Hostel,2,"['Doctor on Call', 'Dry Cleaning', 'Games Zone', 'Laundry Service Available', 'Library', 'Lobby', 'Non Smoking Rooms', 'Parking Facilities Available', 'Front Desk', 'Locker Facility', 'Local Tour / Travel Desk', 'Major Credit Cards Accepted', '24 Hour Front Desk', 'Power Backup', 'Audio - Visual Equipment', 'Wake-up Call / Service', 'Coffee Shop / Cafe', 'Smoking Rooms', 'Veranda', ' Bike on Rent', 'Car Rental', 'Express Laundry', 'Food Facility', 'Internet Access Free', 'Newspapers In Lobby', 'Family Room', 'RO Water Purification System', 'Outdoor Parking - Secured', 'Parking Facility', 'Internet Access', 'Recreation Zone']","['Air Conditioning ', 'Alarm Clock', 'Cable / Satellite / Pay TV available', 'Ceiling Fan', 'Crockery / Cutlery', 'Ensuite / Private Bathroom', 'Full Kitchen', 'Kitchenette', 'Microwave Oven Available ', 'Refrigerator', 'Stove / Oven', 'Toaster', 'Washing machine', 'Breakfast Available (surcharge)', 'Reading Lamps', ' Hot / Cold Running Water', 'Makeup / Shaving Mirror', 'Safe - In - Room ', 'Snacks / Beverage', 'Sandwich Maker', 'TV', 'Mirror', 'Luxurious Feather Mattresses', 'Mini Refrigerator', 'Utensils (on request)', 'Movies &amp; Games on demand', 'Dressing Area', 'Luggage Rack', 'Attached Bathroom']"
